window_end,window_start,years,observations,tom_days,tom_premium_daily,hac_se,ci95_lo,ci95_hi,hac_z,hac_p,hac_lags
1960-12-31,1950-12-31,10,2569,480,0.0016749227102281785,0.00030197751682617874,0.0010830576531080302,0.0022667877673483265,5.546514614173348,2.9142028123985142e-08,8
1961-12-31,1951-12-31,10,2536,480,0.0015928380350194533,0.00029431191404409265,0.0010159972832719838,0.002169678786766923,5.412074601848502,6.229872262508707e-08,8
1962-12-31,1952-12-31,10,2517,480,0.0017564457535591538,0.00031803735649565116,0.001133103989089352,0.0023797875180289556,5.522765542113828,3.3370490815087805e-08,8
1963-12-31,1953-12-31,10,2517,480,0.0018506967967599397,0.0003109394550550041,0.001241266663479621,0.0024601269300402583,5.951952274543474,2.6496265181918943e-09,8
1964-12-31,1954-12-31,10,2518,480,0.001771143891069677,0.00030952841658411784,0.001164479342373096,0.002377808439766258,5.722072017217679,1.052326803474557e-08,8
1965-12-31,1955-12-31,10,2518,480,0.0017930235933922146,0.00030299735601669545,0.001199159688188631,0.002386887498595798,5.917621252422471,3.266310555360974e-09,8
1966-12-31,1956-12-31,10,2519,480,0.0013714128657838815,0.00030823438569525357,0.0007672845710243566,0.001975541160543406,4.449253326135311,8.61693329534674e-06,8
1967-12-31,1957-12-31,10,2518,480,0.0011183967124632002,0.00031177705171619476,0.0005073249198933768,0.0017294685050330237,3.5871681584867168,0.0003342887538766437,8
1968-12-31,1958-12-31,10,2492,480,0.0010022552186878724,0.00032460436674802245,0.0003660423506373175,0.0016384680867384273,3.0876208743854745,0.0020176569815402168,8
1969-12-31,1959-12-31,10,2489,480,0.001163400530944085,0.0003440779469683803,0.000489020147011577,0.0018377809148765927,3.3812121386872778,0.000721668038837775,8
1970-12-31,1960-12-31,10,2491,480,0.0013421471490137574,0.00038111733956395095,0.0005951708895846916,0.002089123408442823,3.5216113508489344,0.0004289324846140641,8
1971-12-31,1961-12-31,10,2494,480,0.001383140516385304,0.00039268482756556216,0.000613492397081481,0.0021527886356891273,3.522266253473663,0.0004278741792156371,8
1972-12-31,1962-12-31,10,2493,480,0.001389948770491806,0.0003817912371981384,0.0006416516959704661,0.002138245845013146,3.6405989322653407,0.0002720045646344982,8
1973-12-31,1963-12-31,10,2494,480,0.0009990146060906992,0.00043878986441421,0.00013900227505763438,0.0018590269371237642,2.276749503830031,0.022801188507328707,8
1974-12-31,1964-12-31,10,2494,480,0.000986134558093347,0.00048754341981797927,3.05670143506163e-05,0.0019417021018360778,2.0226599683398723,0.04310821684309407,8
1975-12-31,1965-12-31,10,2495,480,0.0009312867038875107,0.0005292661738729308,-0.00010605593513874755,0.001968629342913769,1.7595810007519943,0.0784788752373291,8
1976-12-31,1966-12-31,10,2496,480,0.0010547916666666679,0.0005261200968078926,2.361522538047215e-05,0.0020859681079528633,2.0048496019565936,0.04497912793778669,8
1977-12-31,1967-12-31,10,2497,480,0.001143690505701538,0.000521749855355461,0.00012107958026585214,0.002166301431137224,2.192028409710545,0.028377455327102563,8
1978-12-31,1968-12-31,10,2523,480,0.0013482700073421442,0.00052735868571312,0.00031466597641005177,0.0023818740382742366,2.556647010599528,0.01056864027657034,8
1979-12-31,1969-12-31,10,2526,480,0.0011183993157380249,0.0005220768822539159,9.514742935939164e-05,0.002141651202116658,2.142211911222078,0.03217643344837895,8
1980-12-31,1970-12-31,10,2525,480,0.0010132941116544419,0.0005167135000252831,5.542612792508884e-07,0.002026033962029633,1.961036651074262,0.04987474759379218,8
1981-12-31,1971-12-31,10,2525,480,0.000901526589242054,0.0005346289100882139,-0.00014632681962474764,0.0019493799981088555,1.6862660664820799,0.09174456386403929,8
1982-12-31,1972-12-31,10,2527,480,0.0007674890083048365,0.0005598309794794997,-0.0003297595489047645,0.0018647375655144376,1.3709298635427536,0.17039682085649943,8
1983-12-31,1973-12-31,10,2528,480,0.001042802734375001,0.0005260394492566534,1.1784359384675158e-05,0.0020738211093653267,1.9823660294842638,0.04743828876516143,8
1984-12-31,1974-12-31,10,2528,480,0.001239143880208335,0.0005007954916897783,0.0002576027528763422,0.0022206850075403278,2.4743511089271797,0.013347844495239958,8
1985-12-31,1975-12-31,10,2527,480,0.0011441180182380742,0.00046329099371352503,0.00023608435619779284,0.0020521516802783557,2.4695451320289146,0.013528495211039493,8
1986-12-31,1976-12-31,10,2527,480,0.000984960104217556,0.00046628602603616145,7.105628669237395e-05,0.0018988639217427381,2.11235175240094,0.03465629001494985,8
1987-12-31,1977-12-31,10,2528,480,0.0012099804687500013,0.0005159365115020983,0.00019876348789665365,0.0022211974496033488,2.345211943282057,0.01901626641273979,8
1988-12-31,1978-12-31,10,2529,480,0.0013174460102489014,0.0005179841781784225,0.0003022156764576154,0.0023326763440401875,2.543409752170268,0.010977641108266933,8
1989-12-31,1979-12-31,10,2528,480,0.0015025292968749997,0.0005075631089902596,0.0005077238833729131,0.0024973347103770865,2.960280741963526,0.003073588155353413,8
1990-12-31,1980-12-31,10,2528,480,0.0018395865885416675,0.0005066354907672045,0.000846599273348172,0.0028325739037351628,3.6309864233079256,0.0002823400384490693,8
1991-12-31,1981-12-31,10,2528,480,0.0017348242187500027,0.0004905549741561703,0.0007733541369669323,0.0026962943005330734,3.5364522023941687,0.00040553987799718527,8
1992-12-31,1982-12-31,10,2529,480,0.0015842651903367505,0.0004570975045845918,0.0006883705439278187,0.0024801598367456823,3.4659239537448885,0.0005284127143598827,8
1993-12-31,1983-12-31,10,2529,480,0.0015870833333333355,0.00045390975497512767,0.000697436561350685,0.002476730105315986,3.4964732877800806,0.0004714516930102164,8
1994-12-31,1984-12-31,10,2528,480,0.001348271484375002,0.0004313549694006335,0.0005028312797973835,0.0021937116889526203,3.125665820538526,0.0017740302195985436,8
1995-12-31,1985-12-31,10,2528,480,0.0015134602864583348,0.000430944615169305,0.0006688243613950239,0.0023580962115216457,3.5119600829998596,0.000444814803109983,8
1996-12-31,1986-12-31,10,2529,480,0.001632792825768666,0.000430178017150838,0.0007896594052121701,0.002475926246325162,3.7956212560163016,0.00014727419067339653,8
1997-12-31,1987-12-31,10,2529,480,0.001646927159590041,0.00039707082426644635,0.0008686826447161734,0.0024251716744639086,4.14769118993468,3.3584497892036325e-05,8
1998-12-31,1988-12-31,10,2528,480,0.0008896093749999979,0.00044159370275930404,2.4101621792076383e-05,0.0017551171282079196,2.014542710734465,0.04395258537423308,8
1999-12-31,1989-12-31,10,2528,480,0.0009508821614583329,0.0004613677890372768,4.661791131839715e-05,0.0018551464115982687,2.0610068237371144,0.039302389088324396,8
2000-12-31,1990-12-31,10,2527,480,0.000834782710470607,0.0005035193805142182,-0.00015209714085517953,0.0018216625617963936,1.6578958879757253,0.09733848229539843,8
2001-12-31,1991-12-31,10,2522,480,0.0010217576722167797,0.0005372125847331156,-3.1159645901798413e-05,0.002074674990335358,1.9019615348817334,0.057176183465167174,8
2002-12-31,1992-12-31,10,2520,480,0.0007480637254901944,0.0006082081468129146,-0.00044400233736696746,0.0019401297883473562,1.2299469012543487,0.2187169894324057,8
2003-12-31,1993-12-31,10,2519,480,0.0009996320704593743,0.0006232108744478846,-0.0002218387982321924,0.002221102939150941,1.604002932947807,0.10871340610946634,8
2004-12-31,1994-12-31,10,2519,480,0.0011263979483406882,0.0006231394255053945,-9.493288299686447e-05,0.0023477287796782407,1.8076178496122728,0.07066599820172881,8
2005-12-31,1995-12-31,10,2519,480,0.0010425785720124246,0.0006296098180201106,-0.00019143399561980922,0.0022765911396446584,1.6559121890617075,0.0977396028256643,8
2006-12-31,1996-12-31,10,2516,480,0.0009083145055664705,0.0006242968145049527,-0.0003152847665263193,0.0021319137776592604,1.454940157410117,0.14568582923612494,8
2007-12-31,1997-12-31,10,2514,480,0.000592987340216322,0.0006085278462554033,-0.0005997053220339952,0.0017856800024666393,0.9744621283402061,0.32982713440556877,8
2008-12-31,1998-12-31,10,2515,480,0.0008604596642096643,0.0006144097589917143,-0.00034376133516402993,0.0020646806635833586,1.400465490036704,0.16137397059609038,8
2009-12-31,1999-12-31,10,2515,480,0.0005572998566748565,0.0006601472980274949,-0.0007365650719504625,0.0018511647853001756,0.8442053134808789,0.3985546858785267,8
2010-12-31,2000-12-31,10,2515,480,0.0004978168509418507,0.0006273978550345038,-0.0007318603489034582,0.0017274940507871596,0.7934627875233542,0.4275082418468865,8
2011-12-31,2001-12-31,10,2519,480,0.0002684111901258792,0.0006251423519787492,-0.0009568453049631306,0.001493667685214889,0.4293601117829935,0.6676611772972791,8
2012-12-31,2002-12-31,10,2517,480,0.0007012254540991659,0.0005675262821761726,-0.00041110561924604793,0.0018135565274443799,1.2355823441521079,0.21661385089713292,8
2013-12-31,2003-12-31,10,2517,480,0.00040981621256750046,0.0005581415894141466,-0.0006841212009581687,0.0015037536260931695,0.7342513447128427,0.46279556573475844,8
2014-12-31,2004-12-31,10,2517,480,0.00019286788168875805,0.0005619519347915162,-0.0009085376715452142,0.0012942734349227303,0.34321063733024054,0.731440002744316,8
2015-12-31,2005-12-31,10,2517,480,5.764972999509043e-05,0.0005742345634780758,-0.0010678293331000171,0.0011831287930901982,0.10039404393548228,0.9200314981294484,8
2016-12-31,2006-12-31,10,2518,480,-1.1270444880601839e-05,0.0005798610496686466,-0.00114777721826874,0.0011252363285075364,-0.019436457901495844,0.9844929266962665,8
2017-12-31,2007-12-31,10,2518,480,1.5633586849852883e-05,0.000569874035330682,-0.0011012989981227898,0.0011325661718224957,0.0274334078772007,0.9781140526366678,8
