window_end,window_start,years,observations,tom_days,tom_premium_daily,hac_se,ci95_lo,ci95_hi,hac_z,hac_p,hac_lags
1960-12-31,1950-12-31,10,2514,480,0.0018688236264783433,0.00034520392071177205,0.0011922363745612498,0.002545410878395437,5.4136801882928705,6.174240141376686e-08,8
1961-12-31,1951-12-31,10,2515,480,0.0017237615182430805,0.00033578437227270864,0.001065636242017182,0.002381886794468979,5.133537057058512,2.843470128244263e-07,8
1962-12-31,1952-12-31,10,2517,480,0.0018216082293281137,0.0003563195450055613,0.0011232347541295148,0.0025199817045267127,5.112288267262136,3.1827963775654666e-07,8
1963-12-31,1953-12-31,10,2517,480,0.001974289388471289,0.0003451738072580883,0.001297761157838866,0.0026508176191037125,5.719696416579786,1.0671454830912808e-08,8
1964-12-31,1954-12-31,10,2518,480,0.0018971245529617825,0.000340958384746517,0.0012288583986316585,0.0025653907072919063,5.564094147067789,2.635176565846109e-08,8
1965-12-31,1955-12-31,10,2518,480,0.0018487293136641419,0.0003169994754653085,0.001227421758634049,0.0024700368686942347,5.831963320918685,5.4778963587409635e-09,8
1966-12-31,1956-12-31,10,2519,480,0.0013771136657171714,0.0003153105316010889,0.0007591163798328587,0.001995110951601484,4.367483885566529,1.2568606633234225e-05,8
1967-12-31,1957-12-31,10,2518,480,0.001126760057142387,0.00031648475876560445,0.0005064613283059554,0.0017470587859788186,3.560234816795365,0.00037052331913289827,8
1968-12-31,1958-12-31,10,2492,480,0.001003214336797217,0.00032628998708012093,0.0003636977136041406,0.0016427309599902932,3.0746096310668474,0.0021077823865454093,8
1969-12-31,1959-12-31,10,2489,480,0.0011392738564172341,0.00033941123145879524,0.00047404006680960744,0.0018045076460248607,3.3566180220984903,0.0007890203748124325,8
1970-12-31,1960-12-31,10,2491,480,0.0013058275460191182,0.0003696920563413501,0.0005812444302195197,0.002030410661818717,3.5322034207124,0.00041211220731973697,8
1971-12-31,1961-12-31,10,2494,480,0.001303103770066687,0.00038087444680455284,0.000556603571698147,0.002049603968435227,3.4213473258692506,0.0006231169932251479,8
1972-12-31,1962-12-31,10,2493,480,0.0013105527860565625,0.0003702261633483606,0.000584922839759333,0.002036182732353792,3.5398708027649874,0.0004003229571849509,8
1973-12-31,1963-12-31,10,2494,480,0.0008926560297062247,0.0004285272581521065,5.2758037334397915e-05,0.0017325540220780515,2.0830787603932883,0.03724404504571166,8
1974-12-31,1964-12-31,10,2494,480,0.000875473403095852,0.00047894156395829085,-6.323481296168453e-05,0.0018141816191533885,1.8279336540774598,0.067559509480414,8
1975-12-31,1965-12-31,10,2495,480,0.0008800353884358246,0.0005249278603074647,-0.00014880431224847848,0.0019088750891201275,1.6764882472047942,0.09364259638624395,8
1976-12-31,1966-12-31,10,2496,480,0.0009968669627189507,0.0005208861781034888,-2.4051186408603157e-05,0.0020177851118465045,1.9137903914987255,0.055646943717062136,8
1977-12-31,1967-12-31,10,2497,480,0.001078591537266156,0.0005191634593773745,6.104985479727905e-05,0.002096133219735033,2.0775567266611867,0.037750205346686716,8
1978-12-31,1968-12-31,10,2523,480,0.001256148391844415,0.0005267131125564398,0.0002238096610488018,0.0022884871226400284,2.384881564363585,0.017084620577649146,8
1979-12-31,1969-12-31,10,2526,480,0.0010196521225742294,0.0005250444488021556,-9.41608736067961e-06,0.0020487203325091387,1.9420300984049623,0.05213345670458791,8
1980-12-31,1970-12-31,10,2525,480,0.0008982379726316458,0.0005232364512398161,-0.00012728662719694152,0.0019237625724602332,1.716696095050829,0.08603471401905871,8
1981-12-31,1971-12-31,10,2525,480,0.0008106959888929875,0.0005405283495762066,-0.00024872010889925324,0.0018701120866852282,1.4998214053501577,0.13366067103396562,8
1982-12-31,1972-12-31,10,2527,480,0.0006603917385451518,0.0005746049318293354,-0.00046581323317943814,0.0017865967102697416,1.1492970247274106,0.2504335245249196,8
1983-12-31,1973-12-31,10,2528,480,0.0009655203870964818,0.0005435870414539432,-9.989063661592788e-05,0.0020309314108088914,1.7762019942822496,0.07569962968860233,8
1984-12-31,1974-12-31,10,2528,480,0.001138618408954336,0.0005213187941298715,0.00011685234799593738,0.0021603844699127346,2.1841115681524466,0.028954050845481305,8
1985-12-31,1975-12-31,10,2527,480,0.0009864150509560619,0.0004827483270894292,4.024571626381926e-05,0.0019325843856483045,2.0433318886951386,0.041019594917169666,8
1986-12-31,1976-12-31,10,2527,480,0.000783202037595061,0.0004901155622519395,-0.00017740681268133896,0.001743810887871461,1.5979946321158907,0.11004417173233683,8
1987-12-31,1977-12-31,10,2528,480,0.0009811107036982118,0.0005386970183009844,-7.471605075083177e-05,0.0020369374581472553,1.8212662598218412,0.06856639263857511,8
1988-12-31,1978-12-31,10,2529,480,0.0011103069195383954,0.0005462777459535395,3.962221191373722e-05,0.0021809916271630534,2.0324952421415796,0.04210354495887114,8
1989-12-31,1979-12-31,10,2528,480,0.0012962465781574681,0.0005370243190132348,0.00024369825406937978,0.0023487949022455564,2.413757687062069,0.015788958769387573,8
1990-12-31,1980-12-31,10,2528,480,0.001648945055030199,0.0005377150699863316,0.0005950428839125547,0.002702847226147843,3.06657772316501,0.002165245079177369,8
1991-12-31,1981-12-31,10,2528,480,0.00149259352251446,0.0005240344627786596,0.000465504848810492,0.0025196821962184283,2.8482735936870966,0.004395711749249465,8
1992-12-31,1982-12-31,10,2529,480,0.0013099935510015978,0.0004823394909382048,0.000364625520441333,0.002255361581561863,2.715916021003199,0.006609268058477946,8
1993-12-31,1983-12-31,10,2529,480,0.0012209919269431208,0.00047936523878069345,0.0002814533234925188,0.0021605305303937228,2.5471015170996094,0.010862182908360607,8
1994-12-31,1984-12-31,10,2528,480,0.0009680725993437134,0.00045570460978841987,7.490797656953176e-05,0.001861237222117895,2.12434234490887,0.03364152729262715,8
1995-12-31,1985-12-31,10,2528,480,0.0011569077594759125,0.00045268204856254655,0.00026966724784550976,0.0020441482711063153,2.5556740390955968,0.010598234682250851,8
1996-12-31,1986-12-31,10,2529,480,0.0012968358337658904,0.00045068398029272753,0.00041351146398298526,0.0021801602035487954,2.877483759071205,0.004008605441399471,8
1997-12-31,1987-12-31,10,2529,480,0.0013347132012794867,0.0004182592838916696,0.0005149400686523006,0.002154486333906673,3.1911143462512634,0.001417251773733419,8
1998-12-31,1988-12-31,10,2528,480,0.0005462221514491259,0.00045045948765910207,-0.00033666222085707877,0.0014291065237553306,1.2125888485281386,0.22528705451966946,8
1999-12-31,1989-12-31,10,2528,480,0.0006480815398370269,0.000469589465167756,-0.0002722968994112008,0.0015684599790852546,1.380102382845208,0.1675551237296906,8
2000-12-31,1990-12-31,10,2527,480,0.0004612634083937227,0.0004974648429592103,-0.000513749767381203,0.0014362765841686486,0.9272281547573484,0.35380808764449156,8
2001-12-31,1991-12-31,10,2522,480,0.0007282397897784075,0.0005252907314770847,-0.00030131112532937867,0.0017577907048861936,1.386355681035229,0.1656383222651232,8
2002-12-31,1992-12-31,10,2520,480,0.0005403517473403992,0.0005975932455719674,-0.0006309094913850567,0.0017116129860658552,0.9042132777508533,0.3658823209349411,8
2003-12-31,1993-12-31,10,2519,480,0.0008769702062285819,0.0006131702177280379,-0.0003248213369109554,0.002078761749368119,1.4302230944581662,0.152652999146639,8
2004-12-31,1994-12-31,10,2519,480,0.0010468021930672734,0.0006119103335575694,-0.0001525200224734534,0.0022461244086080003,1.710711742652388,0.08713433890151201,8
2005-12-31,1995-12-31,10,2519,480,0.000928732168483903,0.0006185826407851563,-0.00028366752891668056,0.0021411318658844866,1.501387376964021,0.1332553968823198,8
2006-12-31,1996-12-31,10,2516,480,0.0008132588390206531,0.0006108647928302764,-0.0003840141543502096,0.002010531832391516,1.3313238028543743,0.18308248936102833,8
2007-12-31,1997-12-31,10,2514,480,0.000498917782915172,0.000591605913370244,-0.000660608500331429,0.001658444066161773,0.8433279175202141,0.3990450734165143,8
2008-12-31,1998-12-31,10,2515,480,0.0008069177570866795,0.0006019245130444153,-0.0003728326098921841,0.001986668124065543,1.3405630433714169,0.18006236288255995,8
2009-12-31,1999-12-31,10,2515,480,0.0004691033485633361,0.0006447132080415769,-0.0007945113195554334,0.0017327180166821056,0.7276155393005134,0.4668489655656658,8
2010-12-31,2000-12-31,10,2515,480,0.0005086558563722971,0.000621437657641406,-0.0007093395712417907,0.0017266512839863848,0.8185146975206506,0.4130633531261749,8
2011-12-31,2001-12-31,10,2519,480,0.00025170359875796957,0.0006203764823342421,-0.0009642119634727936,0.0014676191609887326,0.40572717684413845,0.6849430714585831,8
2012-12-31,2002-12-31,10,2517,480,0.0006635893171499252,0.0005588895110803056,-0.00043181399590467293,0.0017589926302045231,1.1873354285487305,0.2350953387699395,8
2013-12-31,2003-12-31,10,2517,480,0.0003603447692468338,0.0005465988615304924,-0.0007109693133435268,0.0014316588518371945,0.659249029970275,0.5097358669466252,8
2014-12-31,2004-12-31,10,2517,480,0.00014159596805180162,0.0005502118325135027,-0.0009367994075424477,0.001219991343646051,0.2573480970137565,0.7969100663284516,8
2015-12-31,2005-12-31,10,2517,480,2.9314227792814414e-05,0.0005628258994982161,-0.0010738042647900489,0.0011324327203756778,0.05208400647331498,0.9584617566535585,8
2016-12-31,2006-12-31,10,2518,480,-3.1019156166555906e-05,0.0005669870637949674,-0.0011422933809048057,0.0010802550685716937,-0.05470875465647834,0.956370494603134,8
2017-12-31,2007-12-31,10,2518,480,1.857015218080793e-05,0.0005567425412877288,-0.001072625177404444,0.00110976548176606,0.03335500847098145,0.973391487719631,8
2018-12-31,2008-12-31,10,2516,480,8.255387962492586e-05,0.0005204081263491033,-0.0009374273052812862,0.0011025350645311378,0.158632956414571,0.8739580620949328,8
2019-12-31,2009-12-31,10,2516,480,0.00011189403345232291,0.0004714595765049533,-0.0008121497566638914,0.0010359378235685374,0.23733537089610338,0.8123966238489959,8
2020-12-31,2010-12-31,10,2517,480,9.691595995927859e-05,0.0005408218641167479,-0.000963075415761362,0.0011569073356799192,0.1792012608764597,0.8577796737164534,8
2021-12-31,2011-12-31,10,2517,480,6.50308871482685e-05,0.0005105306232206713,-0.0009355907473690352,0.0010656525216655721,0.12737901350172212,0.8986404257253218,8
2022-12-31,2012-12-31,10,2518,480,-4.289372051856016e-05,0.0005380839849324611,-0.0010975189516439767,0.0010117315106068564,-0.07971566097426978,0.9364634034369694,8
2023-12-31,2013-12-31,10,2516,480,3.626287766679269e-05,0.0005489670968725917,-0.0010396928609009975,0.001112218616234583,0.06605655944295846,0.9473327958155415,8
2024-12-31,2014-12-31,10,2516,480,-0.00010170851798579549,0.0005576380523740856,-0.0011946590170480633,0.0009912419810764721,-0.18239163836252228,0.8552753873682752,8
2025-12-31,2015-12-31,10,2514,480,-8.462061105691965e-05,0.0005438582863984137,-0.00115056326509148,0.000981322042977641,-0.15559312632211916,0.8763537433544855,8
2026-12-31,2016-12-31,10,2418,463,0.00021855305348923273,0.0005695461137952983,-0.0008977368170843028,0.0013348429240627683,0.3837319721714111,0.701177113078719,8
