regime_type,regime,observations,tom_days,tom_daily_mean,all_other_days_mean,tom_minus_all_other_daily,hac_se,hac_z,hac_p,hac_lags,tom_win_rate,other_win_rate
publication_regime,PRE_PUBLICATION,9295,1773,0.0013496846287808092,7.523482430000578e-05,0.001274449804480801,0.0002288242603181167,5.569557190784892,2.553875533273242e-08,10,0.5905245346869712,0.5070459984046796
publication_regime,PUBLISHED_PRE_DECIMAL,3605,687,0.0014293708550371632,0.0002636457967874445,0.001165725058249719,0.00044065196939341034,2.6454552327416683,0.00815810810703943,8,0.5633187772925764,0.5308430431802604
publication_regime,POST_DECIMAL_PRE_T2,4127,786,0.00048278325685581784,0.00021124040010397408,0.0002715428567518439,0.00043201436730587716,0.6285505235514185,0.5296433601216706,9,0.5203562340966921,0.5393594732116133
publication_regime,T2,1692,322,0.0007079997737589488,0.0004857599353658925,0.0002222398383930563,0.0007379182735168149,0.30117134426539194,0.7632838399315554,7,0.546583850931677,0.5430656934306569
publication_regime,T1,557,108,0.000828589976690204,0.0007072311987840926,0.0001213587779061112,0.000992341434018311,0.12229538518278968,0.9026650866572989,5,0.6481481481481481,0.5501113585746102
